"name","run.no.in.std.order","run.no","run.no.std.rp","Fill","Glucose","Phosphate","Metals","Strain","Experimenter"
"1","9",1,"9.1","0.7","10","50","1","A","Y"
"2","14",2,"14.1","1.2","10","100","1","A","Y"
"3","29",3,"29.1","0.7","10","100","1","B","Y"
"4","16",4,"16.1","1.2","20","100","1","A","X"
"5","8",5,"8.1","1.2","20","100","-1","A","Y"
"6","17",6,"17.1","0.7","10","50","-1","B","Y"
"7","15",7,"15.1","0.7","20","100","1","A","Y"
"8","19",8,"19.1","0.7","20","50","-1","B","X"
"9","22",9,"22.1","1.2","10","100","-1","B","Y"
"10","11",10,"11.1","0.7","20","50","1","A","X"
"11","31",11,"31.1","0.7","20","100","1","B","X"
"12","27",12,"27.1","0.7","20","50","1","B","Y"
"13","28",13,"28.1","1.2","20","50","1","B","X"
"14","3",14,"3.1","0.7","20","50","-1","A","Y"
"15","13",15,"13.1","0.7","10","100","1","A","X"
"16","10",16,"10.1","1.2","10","50","1","A","X"
"17","23",17,"23.1","0.7","20","100","-1","B","Y"
"18","30",18,"30.1","1.2","10","100","1","B","X"
"19","4",19,"4.1","1.2","20","50","-1","A","X"
"20","6",20,"6.1","1.2","10","100","-1","A","X"
"21","26",21,"26.1","1.2","10","50","1","B","Y"
"22","24",22,"24.1","1.2","20","100","-1","B","X"
"23","12",23,"12.1","1.2","20","50","1","A","Y"
"24","25",24,"25.1","0.7","10","50","1","B","X"
"25","18",25,"18.1","1.2","10","50","-1","B","X"
"26","21",26,"21.1","0.7","10","100","-1","B","X"
"27","2",27,"2.1","1.2","10","50","-1","A","Y"
"28","7",28,"7.1","0.7","20","100","-1","A","X"
"29","5",29,"5.1","0.7","10","100","-1","A","Y"
"30","32",30,"32.1","1.2","20","100","1","B","Y"
"31","1",31,"1.1","0.7","10","50","-1","A","X"
"32","20",32,"20.1","1.2","20","50","-1","B","Y"
"33","23",33,"23.2","0.7","20","100","-1","B","Y"
"34","21",34,"21.2","0.7","10","100","-1","B","X"
"35","15",35,"15.2","0.7","20","100","1","A","Y"
"36","5",36,"5.2","0.7","10","100","-1","A","Y"
"37","26",37,"26.2","1.2","10","50","1","B","Y"
"38","9",38,"9.2","0.7","10","50","1","A","Y"
"39","18",39,"18.2","1.2","10","50","-1","B","X"
"40","27",40,"27.2","0.7","20","50","1","B","Y"
"41","12",41,"12.2","1.2","20","50","1","A","Y"
"42","6",42,"6.2","1.2","10","100","-1","A","X"
"43","7",43,"7.2","0.7","20","100","-1","A","X"
"44","20",44,"20.2","1.2","20","50","-1","B","Y"
"45","31",45,"31.2","0.7","20","100","1","B","X"
"46","10",46,"10.2","1.2","10","50","1","A","X"
"47","22",47,"22.2","1.2","10","100","-1","B","Y"
"48","2",48,"2.2","1.2","10","50","-1","A","Y"
"49","3",49,"3.2","0.7","20","50","-1","A","Y"
"50","16",50,"16.2","1.2","20","100","1","A","X"
"51","25",51,"25.2","0.7","10","50","1","B","X"
"52","29",52,"29.2","0.7","10","100","1","B","Y"
"53","17",53,"17.2","0.7","10","50","-1","B","Y"
"54","1",54,"1.2","0.7","10","50","-1","A","X"
"55","24",55,"24.2","1.2","20","100","-1","B","X"
"56","30",56,"30.2","1.2","10","100","1","B","X"
"57","19",57,"19.2","0.7","20","50","-1","B","X"
"58","11",58,"11.2","0.7","20","50","1","A","X"
"59","32",59,"32.2","1.2","20","100","1","B","Y"
"60","13",60,"13.2","0.7","10","100","1","A","X"
"61","14",61,"14.2","1.2","10","100","1","A","Y"
"62","4",62,"4.2","1.2","20","50","-1","A","X"
"63","28",63,"28.2","1.2","20","50","1","B","X"
"64","8",64,"8.2","1.2","20","100","-1","A","Y"
"65","18",65,"18.3","1.2","10","50","-1","B","X"
"66","32",66,"32.3","1.2","20","100","1","B","Y"
"67","7",67,"7.3","0.7","20","100","-1","A","X"
"68","22",68,"22.3","1.2","10","100","-1","B","Y"
"69","6",69,"6.3","1.2","10","100","-1","A","X"
"70","19",70,"19.3","0.7","20","50","-1","B","X"
"71","24",71,"24.3","1.2","20","100","-1","B","X"
"72","11",72,"11.3","0.7","20","50","1","A","X"
"73","9",73,"9.3","0.7","10","50","1","A","Y"
"74","1",74,"1.3","0.7","10","50","-1","A","X"
"75","2",75,"2.3","1.2","10","50","-1","A","Y"
"76","14",76,"14.3","1.2","10","100","1","A","Y"
"77","4",77,"4.3","1.2","20","50","-1","A","X"
"78","17",78,"17.3","0.7","10","50","-1","B","Y"
"79","27",79,"27.3","0.7","20","50","1","B","Y"
"80","25",80,"25.3","0.7","10","50","1","B","X"
"81","28",81,"28.3","1.2","20","50","1","B","X"
"82","29",82,"29.3","0.7","10","100","1","B","Y"
"83","5",83,"5.3","0.7","10","100","-1","A","Y"
"84","30",84,"30.3","1.2","10","100","1","B","X"
"85","16",85,"16.3","1.2","20","100","1","A","X"
"86","23",86,"23.3","0.7","20","100","-1","B","Y"
"87","31",87,"31.3","0.7","20","100","1","B","X"
"88","20",88,"20.3","1.2","20","50","-1","B","Y"
"89","26",89,"26.3","1.2","10","50","1","B","Y"
"90","3",90,"3.3","0.7","20","50","-1","A","Y"
"91","8",91,"8.3","1.2","20","100","-1","A","Y"
"92","10",92,"10.3","1.2","10","50","1","A","X"
"93","15",93,"15.3","0.7","20","100","1","A","Y"
"94","13",94,"13.3","0.7","10","100","1","A","X"
"95","12",95,"12.3","1.2","20","50","1","A","Y"
"96","21",96,"21.3","0.7","10","100","-1","B","X"
